ID	名称	类型	品质	装备说明	初始值	升级成长值	Icom图片路径	海报图片路径	名字图片路径	orderId	套装
582	冥·杖刀(特典)	1	5	经上古冥王结晶熔炼而成的杖刀，穿戴2件以上冥王套装将触发冥王套装效果。	1100	100	equipposter/poster_weapon_zhangdao.png	equipposter/poster_weapon_zhangdao.png	equiptex/tex_weapon_zhangdao.png	1	5,6
583	杖刀(典藏)	1	1	海军大将藤虎所使用的杖刀，锋利无比，可以击落天空之上的陨石。	600	45	equipposter/poster_weapon_zhangdao.png	equipposter/poster_weapon_zhangdao.png	equiptex/tex_weapon_zhangdao.png	1	none
584	进化杖刀(典藏)	1	5	海军大将藤虎所使用的杖刀，锋利无比，可以击落天空之上的陨石。进化后能力更强。	1050	90	equipposter/poster_weapon_zhangdao.png	equipposter/poster_weapon_zhangdao.png	equiptex/tex_weapon_zhangdao.png	1	none
585	天·杖刀(典藏)	1	5	经上古天王结晶熔炼而成的杖刀，穿戴2件以上天王套装将触发天王套装效果。	1650	150	equipposter/poster_weapon_zhangdao.png	equipposter/poster_weapon_zhangdao.png	equiptex/tex_weapon_zhangdao.png	1	1,2
586	海·杖刀(典藏)	1	5	经上古海王结晶熔炼而成的杖刀，穿戴2件以上海王套装将触发海王套装效果。	1650	150	equipposter/poster_weapon_zhangdao.png	equipposter/poster_weapon_zhangdao.png	equiptex/tex_weapon_zhangdao.png	1	3,4
587	冥·杖刀(典藏)	1	5	经上古冥王结晶熔炼而成的杖刀，穿戴2件以上冥王套装将触发冥王套装效果。	1650	150	equipposter/poster_weapon_zhangdao.png	equipposter/poster_weapon_zhangdao.png	equiptex/tex_weapon_zhangdao.png	1	5,6

588	正义风衣	2	1	海军最高统帅才有资格穿戴的风衣，象征着绝对的正义。	105	9.2	equipposter/poster_weapon_zhengyifengyi.png	equipposter/poster_weapon_zhengyifengyi.png	equiptex/tex_weapon_zhengyifengyi.png	1	none
589	进化正义风衣	2	5	海军最高统帅才有资格穿戴的风衣，象征着绝对的正义。经过进化后能力更强。	255	24.2	equipposter/poster_weapon_zhengyifengyi.png	equipposter/poster_weapon_zhengyifengyi.png	equiptex/tex_weapon_zhengyifengyi.png	1	none
590	天·正义风衣	2	5	经上古天王结晶熔炼而成的正义风衣，穿戴2件以上天王套装将触发天王套装效果。	455	44.2	equipposter/poster_weapon_zhengyifengyi.png	equipposter/poster_weapon_zhengyifengyi.png	equiptex/tex_weapon_zhengyifengyi.png	1	1,2
591	海·正义风衣	2	5	经上古海王结晶熔炼而成的正义风衣，穿戴2件以上海王套装将触发海王套装效果。	455	44.2	equipposter/poster_weapon_zhengyifengyi.png	equipposter/poster_weapon_zhengyifengyi.png	equiptex/tex_weapon_zhengyifengyi.png	1	3,4
592	冥·正义风衣	2	5	经上古冥王结晶熔炼而成的正义风衣，穿戴2件以上冥王套装将触发冥王套装效果。	455	44.2	equipposter/poster_weapon_zhengyifengyi.png	equipposter/poster_weapon_zhengyifengyi.png	equiptex/tex_weapon_zhengyifengyi.png	1	5,6
593	正义风衣(特典)	2	1	海军最高统帅才有资格穿戴的风衣，象征着绝对的正义。	210	18.4	equipposter/poster_weapon_zhengyifengyi.png	equipposter/poster_weapon_zhengyifengyi.png	equiptex/tex_weapon_zhengyifengyi.png	1	none
594	进化正义风衣(特典)	2	5	海军最高统帅才有资格穿戴的风衣，象征着绝对的正义。经过进化后能力更强。	510	48.4	equipposter/poster_weapon_zhengyifengyi.png	equipposter/poster_weapon_zhengyifengyi.png	equiptex/tex_weapon_zhengyifengyi.png	1	none
595	天·正义风衣(特典)	2	5	经上古天王结晶熔炼而成的正义风衣，穿戴2件以上天王套装将触发天王套装效果。	910	88.4	equipposter/poster_weapon_zhengyifengyi.png	equipposter/poster_weapon_zhengyifengyi.png	equiptex/tex_weapon_zhengyifengyi.png	1	1,2
596	海·正义风衣(特典)	2	5	经上古海王结晶熔炼而成的正义风衣，穿戴2件以上海王套装将触发海王套装效果。	910	88.4	equipposter/poster_weapon_zhengyifengyi.png	equipposter/poster_weapon_zhengyifengyi.png	equiptex/tex_weapon_zhengyifengyi.png	1	3,4
597	冥·正义风衣(特典)	2	5	经上古冥王结晶熔炼而成的正义风衣，穿戴2件以上冥王套装将触发冥王套装效果。	910	88.4	equipposter/poster_weapon_zhengyifengyi.png	equipposter/poster_weapon_zhengyifengyi.png	equiptex/tex_weapon_zhengyifengyi.png	1	5,6
598	正义风衣(典藏)	2	1	海军最高统帅才有资格穿戴的风衣，象征着绝对的正义。	315	27.6	equipposter/poster_weapon_zhengyifengyi.png	equipposter/poster_weapon_zhengyifengyi.png	equiptex/tex_weapon_zhengyifengyi.png	1	none
599	进化正义风衣(典藏)	2	5	海军最高统帅才有资格穿戴的风衣，象征着绝对的正义。经过进化后能力更强。	765	72.6	equipposter/poster_weapon_zhengyifengyi.png	equipposter/poster_weapon_zhengyifengyi.png	equiptex/tex_weapon_zhengyifengyi.png	1	none
600	天·正义风衣(典藏)	2	5	经上古天王结晶熔炼而成的正义风衣，穿戴2件以上天王套装将触发天王套装效果。	1365	132.6	equipposter/poster_weapon_zhengyifengyi.png	equipposter/poster_weapon_zhengyifengyi.png	equiptex/tex_weapon_zhengyifengyi.png	1	1,2
601	海·正义风衣(典藏)	2	5	经上古海王结晶熔炼而成的正义风衣，穿戴2件以上海王套装将触发海王套装效果。	1365	132.6	equipposter/poster_weapon_zhengyifengyi.png	equipposter/poster_weapon_zhengyifengyi.png	equiptex/tex_weapon_zhengyifengyi.png	1	3,4
602	冥·正义风衣(典藏)	2	5	经上古冥王结晶熔炼而成的正义风衣，穿戴2件以上冥王套装将触发冥王套装效果。	1365	132.6	equipposter/poster_weapon_zhengyifengyi.png	equipposter/poster_weapon_zhengyifengyi.png	equiptex/tex_weapon_zhengyifengyi.png	1	5,6

603	天·阎魔(特典)	1	5	经上古天王结晶熔炼而成的阎魔，穿戴2件以上天王套装将触发天王套装效果。	1040	90	equipposter/poster_weapon_yanmo.png	equipposter/poster_weapon_yanmo.png	equiptex/tex_weapon_yanmo.png	386	1,2
604	海·阎魔(特典)	1	5	经上古海王结晶熔炼而成的阎魔，穿戴2件以上海王套装将触发海王套装效果。	1040	90	equipposter/poster_weapon_yanmo.png	equipposter/poster_weapon_yanmo.png	equiptex/tex_weapon_yanmo.png	387	3,4
605	冥·阎魔(特典)	1	5	经上古冥王结晶熔炼而成的阎魔，穿戴2件以上冥王套装将触发冥王套装效果。	1040	90	equipposter/poster_weapon_yanmo.png	equipposter/poster_weapon_yanmo.png	equiptex/tex_weapon_yanmo.png	388	5,6

606	天·阎魔(典藏)	1	5	经上古天王结晶熔炼而成的阎魔，穿戴2件以上天王套装将触发天王套装效果。	1510	145	equipposter/poster_weapon_yanmo.png	equipposter/poster_weapon_yanmo.png	equiptex/tex_weapon_yanmo.png	386	1,2
607	海·阎魔(典藏)	1	5	经上古海王结晶熔炼而成的阎魔，穿戴2件以上海王套装将触发海王套装效果。	1510	145	equipposter/poster_weapon_yanmo.png	equipposter/poster_weapon_yanmo.png	equiptex/tex_weapon_yanmo.png	387	3,4
608	冥·阎魔(典藏)	1	5	经上古冥王结晶熔炼而成的阎魔，穿戴2件以上冥王套装将触发冥王套装效果。	1510	145	equipposter/poster_weapon_yanmo.png	equipposter/poster_weapon_yanmo.png	equiptex/tex_weapon_yanmo.png	388	5,6

609	天·传承草帽	2	5	经上古天王结晶熔炼而成的传承草帽，穿戴2件以上天王套装将触发天王套装效果。	470	45	equipposter/caomao1.png	equipposter/caomao1.png	equiptex/caomao1.png	386	1,2
610	海·传承草帽	2	5	经上古海王结晶熔炼而成的传承草帽，穿戴2件以上海王套装将触发海王套装效果。	470	45	equipposter/caomao1.png	equipposter/caomao1.png	equiptex/caomao1.png	387	3,4
611	冥·传承草帽	2	5	经上古冥王结晶熔炼而成的传承草帽，穿戴2件以上冥王套装将触发冥王套装效果。	470	45	equipposter/caomao1.png	equipposter/caomao1.png	equiptex/caomao1.png	388	5,6

612	天·传承草帽(特典)	2	5	经上古天王结晶熔炼而成的传承草帽，穿戴2件以上天王套装将触发天王套装效果。	940	90	equipposter/caomao1.png	equipposter/caomao1.png	equiptex/caomao1.png	386	1,2
613	海·传承草帽(特典)	2	5	经上古海王结晶熔炼而成的传承草帽，穿戴2件以上海王套装将触发海王套装效果。	940	90	equipposter/caomao1.png	equipposter/caomao1.png	equiptex/caomao1.png	387	3,4
614	冥·传承草帽(特典)	2	5	经上古冥王结晶熔炼而成的传承草帽，穿戴2件以上冥王套装将触发冥王套装效果。	940	90	equipposter/caomao1.png	equipposter/caomao1.png	equiptex/caomao1.png	388	5,6

615	天·传承草帽(典藏)	2	5	经上古天王结晶熔炼而成的传承草帽，穿戴2件以上天王套装将触发天王套装效果。	1410	135	equipposter/caomao1.png	equipposter/caomao1.png	equiptex/caomao1.png	386	1,2
616	海·传承草帽(典藏)	2	5	经上古海王结晶熔炼而成的传承草帽，穿戴2件以上海王套装将触发海王套装效果。	1410	135	equipposter/caomao1.png	equipposter/caomao1.png	equiptex/caomao1.png	387	3,4
617	冥·传承草帽(典藏)	2	5	经上古冥王结晶熔炼而成的传承草帽，穿戴2件以上冥王套装将触发冥王套装效果。	1410	135	equipposter/caomao1.png	equipposter/caomao1.png	equiptex/caomao1.png	388	5,6

618	天·黑刀夜(特典)	1	5	经上古天王结晶熔炼而成的黑刀夜，穿戴2件以上天王套装将触发天王套装效果。	1102	100	equipposter/poster_weapon_heidaoye.png	equipposter/poster_weapon_heidaoye.png	equiptex/tex_weapon_heidaoye.png	386	1,2
619	海·黑刀夜(特典)	1	5	经上古海王结晶熔炼而成的黑刀夜，穿戴2件以上海王套装将触发海王套装效果。	1102	100	equipposter/poster_weapon_heidaoye.png	equipposter/poster_weapon_heidaoye.png	equiptex/tex_weapon_heidaoye.png	387	3,4
620	冥·黑刀夜(特典)	1	5	经上古冥王结晶熔炼而成的黑刀夜，穿戴2件以上冥王套装将触发冥王套装效果。	1102	100	equipposter/poster_weapon_heidaoye.png	equipposter/poster_weapon_heidaoye.png	equiptex/tex_weapon_heidaoye.png	388	5,6

621	天·黑刀夜(典藏)	1	5	经上古天王结晶熔炼而成的黑刀夜，穿戴2件以上天王套装将触发天王套装效果。	1653	150	equipposter/poster_weapon_heidaoye.png	equipposter/poster_weapon_heidaoye.png	equiptex/tex_weapon_heidaoye.png	386	1,2
622	海·黑刀夜(典藏)	1	5	经上古海王结晶熔炼而成的黑刀夜，穿戴2件以上海王套装将触发海王套装效果。	1653	150	equipposter/poster_weapon_heidaoye.png	equipposter/poster_weapon_heidaoye.png	equiptex/tex_weapon_heidaoye.png	387	3,4
623	冥·黑刀夜(典藏)	1	5	经上古冥王结晶熔炼而成的黑刀夜，穿戴2件以上冥王套装将触发冥王套装效果。	1653	150	equipposter/poster_weapon_heidaoye.png	equipposter/poster_weapon_heidaoye.png	equiptex/tex_weapon_heidaoye.png	388	5,6

624	天·王者薙刀(特典)	1	5	经上古天王结晶熔炼而成的王者薙刀，穿戴2件以上天王套装将触发天王套装效果。	1078	97.4	equipposter/poster_weapon_wangzhetidao.png	equipposter/poster_weapon_wangzhetidao.png	equiptex/tex_weapon_wangzhetidao.png	386	1,2
625	海·王者薙刀(特典)	1	5	经上古海王结晶熔炼而成的王者薙刀，穿戴2件以上海王套装将触发海王套装效果。	1078	97.4	equipposter/poster_weapon_wangzhetidao.png	equipposter/poster_weapon_wangzhetidao.png	equiptex/tex_weapon_wangzhetidao.png	387	3,4
626	冥·王者薙刀(特典)	1	5	经上古冥王结晶熔炼而成的王者薙刀，穿戴2件以上冥王套装将触发冥王套装效果。	1078	97.4	equipposter/poster_weapon_wangzhetidao.png	equipposter/poster_weapon_wangzhetidao.png	equiptex/tex_weapon_wangzhetidao.png	388	5,6

627	天·王者薙刀(典藏)	1	5	经上古天王结晶熔炼而成的王者薙刀，穿戴2件以上天王套装将触发天王套装效果。	1617	146.1	equipposter/poster_weapon_wangzhetidao.png	equipposter/poster_weapon_wangzhetidao.png	equiptex/tex_weapon_wangzhetidao.png	386	1,2
628	海·王者薙刀(典藏)	1	5	经上古海王结晶熔炼而成的王者薙刀，穿戴2件以上海王套装将触发海王套装效果。	1617	146.1	equipposter/poster_weapon_wangzhetidao.png	equipposter/poster_weapon_wangzhetidao.png	equiptex/tex_weapon_wangzhetidao.png	387	3,4
629	冥·王者薙刀(典藏)	1	5	经上古冥王结晶熔炼而成的王者薙刀，穿戴2件以上冥王套装将触发冥王套装效果。	1617	146.1	equipposter/poster_weapon_wangzhetidao.png	equipposter/poster_weapon_wangzhetidao.png	equiptex/tex_weapon_wangzhetidao.png	388	5,6

630	天·七星剑(特典)	1	5	经上古天王结晶熔炼而成的七星剑，穿戴2件以上天王套装将触发天王套装效果。	1038	93.4	equipposter/poster_weapon_qixingjian.png	equipposter/poster_weapon_qixingjian.png	equiptex/tex_weapon_qixingjian.png	386	1,2
631	海·七星剑(特典)	1	5	经上古海王结晶熔炼而成的七星剑，穿戴2件以上海王套装将触发海王套装效果。	1038	93.4	equipposter/poster_weapon_qixingjian.png	equipposter/poster_weapon_qixingjian.png	equiptex/tex_weapon_qixingjian.png	387	3,4
632	冥·七星剑(特典)	1	5	经上古冥王结晶熔炼而成的七星剑，穿戴2件以上冥王套装将触发冥王套装效果。	1038	93.4	equipposter/poster_weapon_qixingjian.png	equipposter/poster_weapon_qixingjian.png	equiptex/tex_weapon_qixingjian.png	388	5,6

633	天·七星剑(典藏)	1	5	经上古天王结晶熔炼而成的七星剑，穿戴2件以上天王套装将触发天王套装效果。	1557	140.1	equipposter/poster_weapon_qixingjian.png	equipposter/poster_weapon_qixingjian.png	equiptex/tex_weapon_qixingjian.png	386	1,2
634	海·七星剑(典藏)	1	5	经上古海王结晶熔炼而成的七星剑，穿戴2件以上海王套装将触发海王套装效果。	1557	140.1	equipposter/poster_weapon_qixingjian.png	equipposter/poster_weapon_qixingjian.png	equiptex/tex_weapon_qixingjian.png	387	3,4
635	冥·七星剑(典藏)	1	5	经上古冥王结晶熔炼而成的七星剑，穿戴2件以上冥王套装将触发冥王套装效果。	1557	140.1	equipposter/poster_weapon_qixingjian.png	equipposter/poster_weapon_qixingjian.png	equiptex/tex_weapon_qixingjian.png	388	5,6

636	天·恶魔战斧(特典)	1	5	经上古天王结晶熔炼而成的恶魔战斧，穿戴2件以上天王套装将触发天王套装效果。	1028	92	equipposter/poster_weapon_emozhanfu.png	equipposter/poster_weapon_emozhanfu.png	equiptex/tex_weapon_emozhanfu.png	386	1,2
637	海·恶魔战斧(特典)	1	5	经上古海王结晶熔炼而成的恶魔战斧，穿戴2件以上海王套装将触发海王套装效果。	1028	92	equipposter/poster_weapon_emozhanfu.png	equipposter/poster_weapon_emozhanfu.png	equiptex/tex_weapon_emozhanfu.png	387	3,4
638	冥·恶魔战斧(特典)	1	5	经上古冥王结晶熔炼而成的恶魔战斧，穿戴2件以上冥王套装将触发冥王套装效果。	1028	92	equipposter/poster_weapon_emozhanfu.png	equipposter/poster_weapon_emozhanfu.png	equiptex/tex_weapon_emozhanfu.png	388	5,6

639	天·恶魔战斧(典藏)	1	5	经上古天王结晶熔炼而成的恶魔战斧，穿戴2件以上天王套装将触发天王套装效果。	1542	138	equipposter/poster_weapon_emozhanfu.png	equipposter/poster_weapon_emozhanfu.png	equiptex/tex_weapon_emozhanfu.png	386	1,2
640	海·恶魔战斧(典藏)	1	5	经上古海王结晶熔炼而成的恶魔战斧，穿戴2件以上海王套装将触发海王套装效果。	1542	138	equipposter/poster_weapon_emozhanfu.png	equipposter/poster_weapon_emozhanfu.png	equiptex/tex_weapon_emozhanfu.png	387	3,4
641	冥·恶魔战斧(典藏)	1	5	经上古冥王结晶熔炼而成的恶魔战斧，穿戴2件以上冥王套装将触发冥王套装效果。	1542	138	equipposter/poster_weapon_emozhanfu.png	equipposter/poster_weapon_emozhanfu.png	equiptex/tex_weapon_emozhanfu.png	388	5,6

642	天·十字战甲(特典)	2	5	经上古天王结晶熔炼而成的十字战甲，穿戴2件以上天王套装将触发天王套装效果。	924	87.6	equipposter/poster_clothes_shizizhanjia.png	equipposter/poster_clothes_shizizhanjia.png	equiptex/tex_clothes_shizizhanjia.png	386	1,2
643	海·十字战甲(特典)	2	5	经上古海王结晶熔炼而成的十字战甲，穿戴2件以上海王套装将触发海王套装效果。	924	87.6	equipposter/poster_clothes_shizizhanjia.png	equipposter/poster_clothes_shizizhanjia.png	equiptex/tex_clothes_shizizhanjia.png	387	3,4
644	冥·十字战甲(特典)	2	5	经上古冥王结晶熔炼而成的十字战甲，穿戴2件以上冥王套装将触发冥王套装效果。	924	87.6	equipposter/poster_clothes_shizizhanjia.png	equipposter/poster_clothes_shizizhanjia.png	equiptex/tex_clothes_shizizhanjia.png	388	5,6

645	天·十字战甲(典藏)	2	5	经上古天王结晶熔炼而成的十字战甲，穿戴2件以上天王套装将触发天王套装效果。	1386	127.6	equipposter/poster_clothes_shizizhanjia.png	equipposter/poster_clothes_shizizhanjia.png	equiptex/tex_clothes_shizizhanjia.png	386	1,2
